timestamp,transaction_id,flow,amount
2024-05-15 20:11:04,84600562,497966 → 497965,9200.0
2024-05-15 20:11:08,84600562,497966 → 497965,9200.0
2024-05-16 11:52:20,84600251,497965 → cash_75,880.0
2024-05-16 13:37:26,84600253,497965 → cash_75,840.0
2024-05-16 19:26:43,84600252,497965 → cash_75,900.0
2024-05-17 10:42:59,84600254,497965 → cash_75,810.0
2024-05-18 16:52:39,84600256,497965 → cash_75,820.0
2024-05-19 01:56:16,84600257,497965 → cash_75,830.0
2024-05-20 03:39:02,84600261,497965 → cash_75,940.0
2024-05-20 09:24:05,84600258,497965 → cash_75,840.0
2024-05-20 09:30:30,84600259,497965 → cash_75,890.0
2024-05-20 11:34:31,84600260,497965 → cash_75,930.0
2024-06-14 17:52:51,84600589,497966 → 497965,1407.6
2024-06-14 17:52:57,84600589,497966 → 497965,1407.6
2024-06-15 15:47:58,84600591,497966 → 497965,4388.4
2024-06-15 15:48:04,84600591,497966 → 497965,4388.4
2024-06-15 19:03:16,84600590,497966 → 497965,3404.0
2024-06-15 19:03:25,84600590,497966 → 497965,3404.0
2024-06-15 20:01:30,84600275,497965 → cash_111,770.0
2024-06-15 20:46:30,84600276,497965 → cash_111,860.0
2024-06-15 21:28:22,84600274,497965 → cash_111,910.0
2024-06-16 08:37:37,84600279,497965 → cash_111,820.0
2024-06-16 09:18:38,84600278,497965 → cash_111,870.0
2024-06-16 18:19:03,84600277,497965 → cash_111,770.0
2024-06-17 15:18:50,84600280,497965 → cash_111,870.0
2024-06-18 20:42:23,84600281,497965 → cash_111,880.0
2024-06-19 09:40:34,84600283,497965 → cash_111,790.0
2024-06-20 09:27:56,84600284,497965 → cash_111,870.0
2024-07-15 01:00:30,84600627,497966 → 497965,4590.8
2024-07-15 01:00:36,84600627,497966 → 497965,4590.8
2024-07-17 11:59:57,84600632,497966 → 497965,1104.0
2024-07-17 11:59:59,84600632,497966 → 497965,1104.0
2024-07-19 18:22:25,84600634,497966 → 497965,3496.0
2024-07-19 18:22:33,84600634,497966 → 497965,3496.0
2024-07-19 19:17:25,84600302,497965 → cash_60,870.0
2024-07-20 10:21:50,84600304,497965 → cash_60,840.0
2024-07-21 15:57:06,84600305,497965 → cash_60,940.0
2024-07-21 18:07:21,84600306,497965 → cash_60,810.0
2024-07-21 18:57:29,84600307,497965 → cash_60,750.0
2024-07-22 10:43:44,84600308,497965 → cash_60,870.0
2024-07-22 12:18:37,84600310,497965 → cash_60,920.0
2024-07-22 15:35:08,84600309,497965 → cash_60,910.0
2024-07-23 13:26:22,84600312,497965 → cash_60,870.0
2024-07-23 20:02:25,84600313,497965 → cash_60,900.0
2024-08-16 21:53:34,84600662,497966 → 497965,3965.2
2024-08-16 21:53:37,84600662,497966 → 497965,3965.2
2024-08-17 14:07:50,84600663,497966 → 497965,3468.4
2024-08-17 14:07:52,84600663,497966 → 497965,3468.4
2024-08-19 21:17:40,84600667,497966 → 497965,1766.4
2024-08-19 21:17:46,84600667,497966 → 497965,1766.4
2024-08-19 22:51:20,84600337,497965 → cash_7,830.0
2024-08-19 23:04:59,84600338,497965 → cash_7,950.0
2024-08-20 16:02:31,84600340,497965 → cash_7,790.0
2024-08-22 08:58:00,84600346,497965 → cash_7,810.0
2024-08-22 17:31:39,84600348,497965 → cash_7,830.0
2024-08-22 18:11:19,84600345,497965 → cash_7,880.0
2024-08-22 19:02:27,84600347,497965 → cash_7,830.0
2024-08-22 21:05:33,84600344,497965 → cash_7,930.0
2024-08-24 09:06:27,84600353,497965 → cash_7,810.0
2024-08-24 10:07:50,84600354,497965 → cash_7,940.0
2024-09-18 21:09:58,84600696,497966 → 497965,9200.0
2024-09-18 21:10:07,84600696,497966 → 497965,9200.0
2024-09-18 23:04:18,84600371,497965 → cash_62,860.0
2024-09-19 10:06:19,84600372,497965 → cash_62,880.0
2024-09-19 11:30:01,84600373,497965 → cash_62,770.0
2024-09-20 18:54:18,84600376,497965 → cash_62,880.0
2024-09-20 20:14:20,84600375,497965 → cash_62,890.0
2024-09-21 14:03:13,84600378,497965 → cash_62,770.0
2024-09-22 10:08:59,84600382,497965 → cash_62,790.0
2024-09-22 10:17:56,84600379,497965 → cash_62,890.0
2024-09-22 11:29:36,84600380,497965 → cash_62,770.0
2024-09-22 16:21:02,84600381,497965 → cash_62,830.0
