timestamp,transaction_id,flow,amount
2024-04-23 08:37:55,18544180,108886 → 108885,8700.0
2024-04-23 08:37:58,18544180,108886 → 108885,8700.0
2024-04-23 15:56:57,18544045,108885 → cash_71,710.0
2024-04-24 00:16:20,18544047,108885 → cash_71,870.0
2024-04-24 00:57:05,18544046,108885 → cash_71,750.0
2024-04-25 00:40:57,18544051,108885 → cash_71,840.0
2024-04-25 11:10:28,18544050,108885 → cash_71,720.0
2024-04-25 11:27:46,18544049,108885 → cash_71,870.0
2024-04-25 11:34:59,18544052,108885 → cash_71,820.0
2024-04-25 19:52:23,18544048,108885 → cash_71,860.0
2024-04-27 12:54:22,18544054,108885 → cash_71,830.0
2024-04-27 18:07:35,18544055,108885 → cash_71,710.0
2024-05-23 11:54:16,18544188,108886 → 108885,3210.3
2024-05-23 11:54:20,18544188,108886 → 108885,3210.3
2024-05-26 13:01:18,18544192,108886 → 108885,2653.5
2024-05-26 13:01:21,18544192,108886 → 108885,2653.5
2024-05-26 13:56:27,18544191,108886 → 108885,2836.2
2024-05-26 13:56:34,18544191,108886 → 108885,2836.2
2024-05-26 14:43:42,18544068,108885 → cash_57,830.0
2024-05-26 14:53:24,18544067,108885 → cash_57,760.0
2024-05-26 15:59:43,18544069,108885 → cash_57,910.0
2024-05-28 18:06:32,18544073,108885 → cash_57,790.0
2024-05-28 18:23:29,18544072,108885 → cash_57,740.0
2024-05-29 09:10:10,18544076,108885 → cash_57,880.0
2024-05-29 18:55:03,18544075,108885 → cash_57,890.0
2024-05-29 19:46:22,18544074,108885 → cash_57,860.0
2024-05-31 17:23:53,18544080,108885 → cash_57,900.0
2024-05-31 17:33:31,18544079,108885 → cash_57,850.0
2024-06-24 20:34:34,18544201,108886 → 108885,2375.1
2024-06-24 20:34:36,18544201,108886 → 108885,2375.1
2024-06-25 02:22:36,18544204,108886 → 108885,2888.4
2024-06-25 02:22:39,18544204,108886 → 108885,2888.4
2024-06-28 22:56:13,18544205,108886 → 108885,3436.5
2024-06-28 22:56:19,18544205,108886 → 108885,3436.5
2024-06-28 23:06:47,18544092,108885 → cash_71,870.0
2024-06-28 23:41:30,18544091,108885 → cash_71,890.0
2024-06-29 20:32:56,18544093,108885 → cash_71,770.0
2024-06-30 11:21:32,18544096,108885 → cash_71,780.0
2024-06-30 12:54:03,18544095,108885 → cash_71,770.0
2024-06-30 16:06:51,18544094,108885 → cash_71,940.0
2024-07-01 15:45:06,18544097,108885 → cash_71,820.0
2024-07-02 22:56:22,18544098,108885 → cash_71,810.0
2024-07-03 14:31:24,18544099,108885 → cash_71,880.0
2024-07-03 14:48:32,18544100,108885 → cash_71,760.0
2024-07-25 15:54:03,18544214,108886 → 108885,8700.0
2024-07-25 15:54:07,18544214,108886 → 108885,8700.0
2024-07-25 16:37:59,18544109,108885 → cash_8,910.0
2024-07-25 18:28:44,18544108,108885 → cash_8,1000.0
2024-07-26 10:29:42,18544113,108885 → cash_8,960.0
2024-07-26 17:14:32,18544111,108885 → cash_8,1030.0
2024-07-26 17:25:08,18544114,108885 → cash_8,820.0
2024-07-26 18:46:13,18544112,108885 → cash_8,950.0
2024-07-28 08:30:24,18544116,108885 → cash_8,820.0
2024-07-28 10:42:48,18544117,108885 → cash_8,900.0
2024-07-29 00:18:24,18544118,108885 → cash_8,820.0
2024-08-28 12:57:40,18544225,108886 → 108885,8700.0
2024-08-28 12:57:48,18544225,108886 → 108885,8700.0
2024-08-28 16:59:34,18544124,108885 → cash_194,710.0
2024-08-28 21:41:47,18544123,108885 → cash_194,800.0
2024-08-29 16:12:29,18544125,108885 → cash_194,760.0
2024-08-29 22:45:01,18544126,108885 → cash_194,850.0
2024-08-30 11:31:36,18544127,108885 → cash_194,810.0
2024-08-31 10:51:46,18544128,108885 → cash_194,900.0
2024-09-01 03:02:40,18544129,108885 → cash_194,900.0
2024-09-01 11:04:31,18544130,108885 → cash_194,880.0
2024-09-02 18:17:23,18544132,108885 → cash_194,730.0
2024-09-02 19:08:03,18544131,108885 → cash_194,850.0
