transaction_id,account_id,laundering_schema_type,laundering_schema_id
116439480,685200,laundering_schema_1,laundering_schema_1_id0
116439482,685200,laundering_schema_1,laundering_schema_1_id0
116439483,685200,laundering_schema_1,laundering_schema_1_id0
116439484,685200,laundering_schema_1,laundering_schema_1_id0
116439485,685200,laundering_schema_1,laundering_schema_1_id0
116439485,685199,laundering_schema_1,laundering_schema_1_id0
116439486,685200,laundering_schema_1,laundering_schema_1_id0
116439486,919923,laundering_schema_1,laundering_schema_1_id0
116439504,685200,laundering_schema_1,laundering_schema_1_id0
116439503,685200,laundering_schema_1,laundering_schema_1_id0
116439500,685200,laundering_schema_1,laundering_schema_1_id0
116439505,685200,laundering_schema_1,laundering_schema_1_id0
116439505,919923,laundering_schema_1,laundering_schema_1_id0
116439510,685200,laundering_schema_1,laundering_schema_1_id0
116439510,685199,laundering_schema_1,laundering_schema_1_id0
116439511,685200,laundering_schema_1,laundering_schema_1_id0
116439511,919923,laundering_schema_1,laundering_schema_1_id0
116439506,685200,laundering_schema_1,laundering_schema_1_id0
116439506,919923,laundering_schema_1,laundering_schema_1_id0
171164314,1006790,laundering_schema_1,laundering_schema_1_id5
171164305,1006790,laundering_schema_1,laundering_schema_1_id5
171164306,1006790,laundering_schema_1,laundering_schema_1_id5
171164316,1006790,laundering_schema_1,laundering_schema_1_id5
171164316,831720,laundering_schema_1,laundering_schema_1_id5
171164317,1006790,laundering_schema_1,laundering_schema_1_id5
171164317,1350450,laundering_schema_1,laundering_schema_1_id5
171164318,1006790,laundering_schema_1,laundering_schema_1_id5
171164318,79380,laundering_schema_1,laundering_schema_1_id5
63614361,374366,laundering_schema_1,laundering_schema_1_id6
63614359,374366,laundering_schema_1,laundering_schema_1_id6
63614362,374366,laundering_schema_1,laundering_schema_1_id6
63614360,374366,laundering_schema_1,laundering_schema_1_id6
63614365,374366,laundering_schema_1,laundering_schema_1_id6
63614365,1330159,laundering_schema_1,laundering_schema_1_id6
63614366,374366,laundering_schema_1,laundering_schema_1_id6
63614366,1626383,laundering_schema_1,laundering_schema_1_id6
