category_2,laundering_yn_0,laundering_yn_1
airline_tickets,5668,0
bets_online_games,5,0
car_motorcycle_accessories,157,0
car_stamp_duty,969,0
cash_deposits,754141,513
channeled_salary,7166267,0
cosmetics_beauty_products,2615189,0
electricity_gas_bill,5764313,0
ferry_cruise_tickets,18,0
fuel,16014968,0
hairdresser_beautician,3128526,0
highway_tolls,2011932,0
home_insurance,23837,0
imu_tax,13336,0
inheritance,3880,0
inps_tax,8276,0
multi_services,682254,0
nursery_fee,82,0
other,257844668,27130
other_state_subsidies,177719,0
other_uncategorized_income,1672392,2418
parking_garage_washing,137310,0
postal_services,1381543,0
profits_dividends,866278,0
public_administration_services,105756,0
purchase,1224788,2925
rent,1307121,0
repairs_maintenance_tires,239281,0
sale,2792010,2121
school_fee,13534,0
severance_pay,730,0
taxes_irpef_irap_iva_ires,48728,0
train_tickets,306588,0
unemployment_benefit,37458,0
university_fee,66053,0
vehicle_financing,774833,0
vehicle_insurance,288255,0
veterinarian,5799,0
waste_tax,7771,0
water_bill,67988,0
wellness_centers,1049,0
