category_0,laundering_yn_0,laundering_yn_1
commissions_bank_fees,21616618,0
financial_assets,5284069,5046
groceries_expenses,41865690,0
health,10330234,0
home,7934034,0
income,15116471,2931
insurances,3564088,0
legal_expenses,226939,0
leisure,27393067,0
loans_financing,7222927,0
material_assets,101486,0
money_exchange_between_private_parties,36752245,10112
other_expenses,56657845,17018
professional_services,4280261,0
school_education,425575,0
shopping,21533148,0
taxes,7214111,0
transportation,18875136,0
travel,2446502,0
utilities,18721024,0
